"Клиент","Дата","Критерий","Парам. №1","Парам. №2","Переходы (%)","Показы (%)"
"Rusfic_Alphavit_WM_pp","2021-01-09","gender","Ж","",100,99.9
"Rusfic_Alphavit_WM_pp","2021-01-09","gender","М","",0,0
"Rusfic_Alphavit_WM_pp","2021-01-09","gender_age","Ж","1-18",0,0.2
"Rusfic_Alphavit_WM_pp","2021-01-09","gender_age","Ж","18-21",0,0
"Rusfic_Alphavit_WM_pp","2021-01-09","gender_age","Ж","21-24",0,0
"Rusfic_Alphavit_WM_pp","2021-01-09","gender_age","Ж","24-27",17.6,8.8
"Rusfic_Alphavit_WM_pp","2021-01-09","gender_age","Ж","27-30",5.8,12.7
"Rusfic_Alphavit_WM_pp","2021-01-09","gender_age","Ж","30-35",33.3,26
"Rusfic_Alphavit_WM_pp","2021-01-09","gender_age","Ж","35-45",21.5,31.4
"Rusfic_Alphavit_WM_pp","2021-01-09","gender_age","Ж","45+",17.6,17.6
"Rusfic_Alphavit_WM_pp","2021-01-10","age","1-18","",0,0.2
"Rusfic_Alphavit_WM_pp","2021-01-10","age","18-21","",0,0
"Rusfic_Alphavit_WM_pp","2021-01-10","age","21-24","",0,0
"Rusfic_Alphavit_WM_pp","2021-01-10","age","24-27","",22.2,8.9
"Rusfic_Alphavit_WM_pp","2021-01-10","age","27-30","",17.7,12.9
"Rusfic_Alphavit_WM_pp","2021-01-10","age","30-35","",31.1,25.8
"Rusfic_Alphavit_WM_pp","2021-01-10","age","35-45","",20,31.9
"Rusfic_Alphavit_WM_pp","2021-01-10","age","45+","",8.8,17.2
"Rusfic_Alphavit_WM_pp","2021-01-10","cities","Москва","",24.4,10.6
"Rusfic_Alphavit_WM_pp","2021-01-10","cities","Санкт-Петербург","",4.4,7.6
"Rusfic_Alphavit_WM_pp","2021-01-10","cities","Казань","",4.4,2.2
"Rusfic_Alphavit_WM_pp","2021-01-10","cities","Нижний Новгород","",0,2.2
"Rusfic_Alphavit_WM_pp","2021-01-10","cities","Екатеринбург","",0,1.8
"Rusfic_Alphavit_WM_pp","2021-01-10","cities","Самара","",2.2,1.8
"Rusfic_Alphavit_WM_pp","2021-01-10","cities","Пермь","",2.2,1.6
"Rusfic_Alphavit_WM_pp","2021-01-10","cities","Краснодар","",0,1.3
"Rusfic_Alphavit_WM_pp","2021-01-10","cities","Воронеж","",0,1.3
"Rusfic_Alphavit_WM_pp","2021-01-10","cities","Ростов-на-Дону","",2.2,1
"Rusfic_Alphavit_WM_pp","2021-01-10","cities","Уфа","",0,1
"Rusfic_Alphavit_WM_pp","2021-01-10","cities","Волгоград","",4.4,0.7
"Rusfic_Alphavit_WM_pp","2021-01-10","cities","Новосибирск","",0,0.7
"Rusfic_Alphavit_WM_pp","2021-01-10","cities","Ярославль","",0,0.7
"Rusfic_Alphavit_WM_pp","2021-01-10","cities","Киров","",0,0.6
"Rusfic_Alphavit_WM_pp","2021-01-10","cities","Ижевск","",0,0.6
"Rusfic_Alphavit_WM_pp","2021-01-10","cities","Тула","",0,0.6
"Rusfic_Alphavit_WM_pp","2021-01-10","cities","Брянск","",2.2,0.5
"Rusfic_Alphavit_WM_pp","2021-01-10","cities","Белгород","",0,0.5
"Rusfic_Alphavit_WM_pp","2021-01-10","cities","Челябинск","",4.4,0.5
"Rusfic_Alphavit_WM_pp","2021-01-10","gender","Ж","",100,99.9
"Rusfic_Alphavit_WM_pp","2021-01-10","gender","М","",0,0
"Rusfic_Alphavit_WM_pp","2021-01-10","gender_age","Ж","1-18",0,0.2
"Rusfic_Alphavit_WM_pp","2021-01-10","gender_age","Ж","18-21",0,0
"Rusfic_Alphavit_WM_pp","2021-01-10","gender_age","Ж","21-24",0,0
"Rusfic_Alphavit_WM_pp","2021-01-10","gender_age","Ж","24-27",22.2,8.9
"Rusfic_Alphavit_WM_pp","2021-01-10","gender_age","Ж","27-30",17.7,12.9
"Rusfic_Alphavit_WM_pp","2021-01-10","gender_age","Ж","30-35",31.1,25.8
"Rusfic_Alphavit_WM_pp","2021-01-10","gender_age","Ж","35-45",20,31.8
"Rusfic_Alphavit_WM_pp","2021-01-10","gender_age","Ж","45+",8.8,17.2
"Rusfic_Alphavit_WM_pp","2021-01-11","age","1-18","",0,0.2
"Rusfic_Alphavit_WM_pp","2021-01-11","age","18-21","",0,0
"Rusfic_Alphavit_WM_pp","2021-01-11","age","24-27","",8.3,10
"Rusfic_Alphavit_WM_pp","2021-01-11","age","27-30","",16.6,14.4
"Rusfic_Alphavit_WM_pp","2021-01-11","age","30-35","",16.6,25.8
"Rusfic_Alphavit_WM_pp","2021-01-11","age","35-45","",25,30.2
"Rusfic_Alphavit_WM_pp","2021-01-11","age","45+","",33.3,17.1
"Rusfic_Alphavit_WM_pp","2021-01-11","cities","Москва","",8.3,9.6
"Rusfic_Alphavit_WM_pp","2021-01-11","cities","Санкт-Петербург","",8.3,9.4
"Rusfic_Alphavit_WM_pp","2021-01-11","cities","Казань","",0,1.7
"Rusfic_Alphavit_WM_pp","2021-01-11","cities","Краснодар","",0,1.4
"Rusfic_Alphavit_WM_pp","2021-01-11","cities","Самара","",0,1.3
"Rusfic_Alphavit_WM_pp","2021-01-11","cities","Нижний Новгород","",0,1.2
"Rusfic_Alphavit_WM_pp","2021-01-11","cities","Пермь","",0,1.2
"Rusfic_Alphavit_WM_pp","2021-01-11","cities","Екатеринбург","",0,1.1
"Rusfic_Alphavit_WM_pp","2021-01-11","cities","Уфа","",8.3,1
"Rusfic_Alphavit_WM_pp","2021-01-11","cities","Ростов-на-Дону","",0,0.9
"Rusfic_Alphavit_WM_pp","2021-01-11","cities","Воронеж","",0,0.9
"Rusfic_Alphavit_WM_pp","2021-01-11","cities","Калининград","",0,0.8
"Rusfic_Alphavit_WM_pp","2021-01-11","cities","Новосибирск","",8.3,0.7
"Rusfic_Alphavit_WM_pp","2021-01-11","cities","Ярославль","",0,0.7
"Rusfic_Alphavit_WM_pp","2021-01-11","cities","Мурманск","",0,0.7
"Rusfic_Alphavit_WM_pp","2021-01-11","cities","Волгоград","",0,0.6
"Rusfic_Alphavit_WM_pp","2021-01-11","cities","Челябинск","",0,0.5
"Rusfic_Alphavit_WM_pp","2021-01-11","cities","Рязань","",0,0.5
"Rusfic_Alphavit_WM_pp","2021-01-11","cities","Тверь","",0,0.5
"Rusfic_Alphavit_WM_pp","2021-01-11","cities","Тула","",0,0.5
"Rusfic_Alphavit_WM_pp","2021-01-11","gender","Ж","",100,99.9
"Rusfic_Alphavit_WM_pp","2021-01-11","gender","М","",0,0
"Rusfic_Alphavit_WM_pp","2021-01-11","gender_age","Ж","1-18",0,0.2
"Rusfic_Alphavit_WM_pp","2021-01-11","gender_age","Ж","18-21",0,0
"Rusfic_Alphavit_WM_pp","2021-01-11","gender_age","Ж","24-27",8.3,10
"Rusfic_Alphavit_WM_pp","2021-01-11","gender_age","Ж","27-30",16.6,14.4
"Rusfic_Alphavit_WM_pp","2021-01-11","gender_age","Ж","30-35",16.6,25.8
"Rusfic_Alphavit_WM_pp","2021-01-11","gender_age","Ж","35-45",25,30.2
"Rusfic_Alphavit_WM_pp","2021-01-11","gender_age","Ж","45+",33.3,17.1
"Rusfic_Alphavit_WM_pp","2021-01-11","gender_age","М","30-35",0,0
"Rusfic_Alphavit_WM_pp","2021-01-12","age","24-27","",0,5
"Rusfic_Alphavit_WM_pp","2021-01-12","age","27-30","",0,9
"Rusfic_Alphavit_WM_pp","2021-01-12","age","30-35","",0,30.3
"Rusfic_Alphavit_WM_pp","2021-01-12","age","35-45","",0,28.2
"Rusfic_Alphavit_WM_pp","2021-01-12","age","45+","",0,24.2
"Rusfic_Alphavit_WM_pp","2021-01-12","cities","Москва","",0,5
"Rusfic_Alphavit_WM_pp","2021-01-12","cities","Санкт-Петербург","",0,5
"Rusfic_Alphavit_WM_pp","2021-01-12","cities","Красноярск","",0,3
"Rusfic_Alphavit_WM_pp","2021-01-12","cities","Нижний Новгород","",0,2
"Rusfic_Alphavit_WM_pp","2021-01-12","cities","Новосибирск","",0,2
"Rusfic_Alphavit_WM_pp","2021-01-12","cities","Уфа","",0,2
"Rusfic_Alphavit_WM_pp","2021-01-12","cities","Кинешма","",0,2
"Rusfic_Alphavit_WM_pp","2021-01-12","cities","Екатеринбург","",0,2
"Rusfic_Alphavit_WM_pp","2021-01-12","cities","Чебоксары","",0,2
"Rusfic_Alphavit_WM_pp","2021-01-12","cities","Краснодар","",0,2
"Rusfic_Alphavit_WM_pp","2021-01-12","cities","Бийск","",0,1
"Rusfic_Alphavit_WM_pp","2021-01-12","cities","Октябрьский","",0,1
"Rusfic_Alphavit_WM_pp","2021-01-12","cities","Самара","",0,1
"Rusfic_Alphavit_WM_pp","2021-01-12","cities","Зея","",0,1
"Rusfic_Alphavit_WM_pp","2021-01-12","cities","Питкяранта","",0,1
"Rusfic_Alphavit_WM_pp","2021-01-12","cities","Владикавказ","",0,1
"Rusfic_Alphavit_WM_pp","2021-01-12","cities","Астрахань","",0,1
"Rusfic_Alphavit_WM_pp","2021-01-12","cities","Хабаровск","",0,1
"Rusfic_Alphavit_WM_pp","2021-01-12","cities","Спасск-Рязанский","",0,1
"Rusfic_Alphavit_WM_pp","2021-01-12","cities","Нижние Серги","",0,1
"Rusfic_Alphavit_WM_pp","2021-01-12","gender","Ж","",0,100
"Rusfic_Alphavit_WM_pp","2021-01-12","gender_age","Ж","24-27",0,5
"Rusfic_Alphavit_WM_pp","2021-01-12","gender_age","Ж","27-30",0,9
"Rusfic_Alphavit_WM_pp","2021-01-12","gender_age","Ж","30-35",0,30.3
"Rusfic_Alphavit_WM_pp","2021-01-12","gender_age","Ж","35-45",0,28.2
"Rusfic_Alphavit_WM_pp","2021-01-12","gender_age","Ж","45+",0,24.2
"Rusfic_Alphavit_WM_pp","2021-01-13","age","1-18","",0,0.1
"Rusfic_Alphavit_WM_pp","2021-01-13","age","18-21","",0,0
"Rusfic_Alphavit_WM_pp","2021-01-13","age","21-24","",0,0
"Rusfic_Alphavit_WM_pp","2021-01-13","age","24-27","",10,6.8
"Rusfic_Alphavit_WM_pp","2021-01-13","age","27-30","",10,12.9
"Rusfic_Alphavit_WM_pp","2021-01-13","age","30-35","",10,26.5
"Rusfic_Alphavit_WM_pp","2021-01-13","age","35-45","",40,33.9
"Rusfic_Alphavit_WM_pp","2021-01-13","age","45+","",30,18.1
"Rusfic_Alphavit_WM_pp","2021-01-13","cities","Санкт-Петербург","",10,5.6
"Rusfic_Alphavit_WM_pp","2021-01-13","cities","Москва","",0,3.1
"Rusfic_Alphavit_WM_pp","2021-01-13","cities","Екатеринбург","",10,1.4
"Rusfic_Alphavit_WM_pp","2021-01-13","cities","Пермь","",10,1.3
"Rusfic_Alphavit_WM_pp","2021-01-13","cities","Казань","",10,1.3
"Rusfic_Alphavit_WM_pp","2021-01-13","cities","Новосибирск","",0,1
"Rusfic_Alphavit_WM_pp","2021-01-13","cities","Челябинск","",0,0.9
"Rusfic_Alphavit_WM_pp","2021-01-13","cities","Уфа","",0,0.8
"Rusfic_Alphavit_WM_pp","2021-01-13","cities","Нижний Новгород","",0,0.7
"Rusfic_Alphavit_WM_pp","2021-01-13","cities","Красноярск","",0,0.6
"Rusfic_Alphavit_WM_pp","2021-01-13","cities","Омск","",0,0.5
"Rusfic_Alphavit_WM_pp","2021-01-13","cities","Ижевск","",0,0.5
"Rusfic_Alphavit_WM_pp","2021-01-13","cities","Архангельск","",0,0.4
"Rusfic_Alphavit_WM_pp","2021-01-13","cities","Калининград","",0,0.4
"Rusfic_Alphavit_WM_pp","2021-01-13","cities","Кызыл","",0,0.4
"Rusfic_Alphavit_WM_pp","2021-01-13","cities","Вологда","",0,0.4
"Rusfic_Alphavit_WM_pp","2021-01-13","cities","Улан-Удэ","",0,0.4
"Rusfic_Alphavit_WM_pp","2021-01-13","cities","Киров","",0,0.4
"Rusfic_Alphavit_WM_pp","2021-01-13","cities","Северодвинск","",0,0.4
"Rusfic_Alphavit_WM_pp","2021-01-13","cities","Мурманск","",0,0.4
"Rusfic_Alphavit_WM_pp","2021-01-13","gender","Ж","",100,99.9
"Rusfic_Alphavit_WM_pp","2021-01-13","gender","М","",0,0
"Rusfic_Alphavit_WM_pp","2021-01-13","gender_age","Ж","1-18",0,0.1
"Rusfic_Alphavit_WM_pp","2021-01-13","gender_age","Ж","18-21",0,0
"Rusfic_Alphavit_WM_pp","2021-01-13","gender_age","Ж","21-24",0,0
"Rusfic_Alphavit_WM_pp","2021-01-13","gender_age","Ж","24-27",10,6.8
"Rusfic_Alphavit_WM_pp","2021-01-13","gender_age","Ж","27-30",10,12.9
"Rusfic_Alphavit_WM_pp","2021-01-13","gender_age","Ж","30-35",10,26.4
"Rusfic_Alphavit_WM_pp","2021-01-13","gender_age","Ж","35-45",40,33.9
"Rusfic_Alphavit_WM_pp","2021-01-13","gender_age","Ж","45+",30,18.1
"Rusfic_Alphavit_WM_pp","2021-01-13","gender_age","М","30-35",0,0
"Rusfic_Alphavit_WM_pp","2021-01-14","age","1-18","",0,0.2
"Rusfic_Alphavit_WM_pp","2021-01-14","age","18-21","",0,0.1
"Rusfic_Alphavit_WM_pp","2021-01-14","age","24-27","",0,6.6
"Rusfic_Alphavit_WM_pp","2021-01-14","age","27-30","",0,12.6
"Rusfic_Alphavit_WM_pp","2021-01-14","age","30-35","",100,25.9
"Rusfic_Alphavit_WM_pp","2021-01-14","age","35-45","",0,33.9
"Rusfic_Alphavit_WM_pp","2021-01-14","age","45+","",0,18.9
"Rusfic_Alphavit_WM_pp","2021-01-14","cities","Санкт-Петербург","",0,5.2
"Rusfic_Alphavit_WM_pp","2021-01-14","cities","Москва","",0,3.3
"Rusfic_Alphavit_WM_pp","2021-01-14","cities","Пермь","",0,2.4
"Rusfic_Alphavit_WM_pp","2021-01-14","cities","Челябинск","",0,1.7
"Rusfic_Alphavit_WM_pp","2021-01-14","cities","Екатеринбург","",0,1.7
"Rusfic_Alphavit_WM_pp","2021-01-14","cities","Уфа","",0,1.6
"Rusfic_Alphavit_WM_pp","2021-01-14","cities","Нижний Новгород","",0,1.4
"Rusfic_Alphavit_WM_pp","2021-01-14","cities","Вологда","",0,1.3
"Rusfic_Alphavit_WM_pp","2021-01-14","cities","Казань","",0,1.1
"Rusfic_Alphavit_WM_pp","2021-01-14","cities","Красноярск","",0,1
"Rusfic_Alphavit_WM_pp","2021-01-14","cities","Новосибирск","",0,0.9
"Rusfic_Alphavit_WM_pp","2021-01-14","cities","Ярославль","",0,0.9
"Rusfic_Alphavit_WM_pp","2021-01-14","cities","Киров","",0,0.8
"Rusfic_Alphavit_WM_pp","2021-01-14","cities","Архангельск","",0,0.7
"Rusfic_Alphavit_WM_pp","2021-01-14","cities","Ижевск","",0,0.7
"Rusfic_Alphavit_WM_pp","2021-01-14","cities","Череповец","",0,0.7
"Rusfic_Alphavit_WM_pp","2021-01-14","cities","Самара","",0,0.6
"Rusfic_Alphavit_WM_pp","2021-01-14","cities","Петрозаводск","",50,0.6
"Rusfic_Alphavit_WM_pp","2021-01-14","cities","Магнитогорск","",0,0.6
"Rusfic_Alphavit_WM_pp","2021-01-14","cities","Сыктывкар","",0,0.5
"Rusfic_Alphavit_WM_pp","2021-01-14","gender","Ж","",100,99.9
"Rusfic_Alphavit_WM_pp","2021-01-14","gender","М","",0,0
"Rusfic_Alphavit_WM_pp","2021-01-14","gender_age","Ж","1-18",0,0.2
"Rusfic_Alphavit_WM_pp","2021-01-14","gender_age","Ж","18-21",0,0.1
"Rusfic_Alphavit_WM_pp","2021-01-14","gender_age","Ж","24-27",0,6.6
"Rusfic_Alphavit_WM_pp","2021-01-14","gender_age","Ж","27-30",0,12.6
"Rusfic_Alphavit_WM_pp","2021-01-14","gender_age","Ж","30-35",100,25.9
"Rusfic_Alphavit_WM_pp","2021-01-14","gender_age","Ж","35-45",0,33.9
"Rusfic_Alphavit_WM_pp","2021-01-14","gender_age","Ж","45+",0,18.9
"Rusfic_Alphavit_WM_pp","2021-01-14","gender_age","М","30-35",0,0
"Rusfic_Alphavit_WM_pp","2021-01-15","age","1-18","",0,0.1
"Rusfic_Alphavit_WM_pp","2021-01-15","age","18-21","",0,0
"Rusfic_Alphavit_WM_pp","2021-01-15","age","21-24","",0,0
"Rusfic_Alphavit_WM_pp","2021-01-15","age","24-27","",0,6.8
"Rusfic_Alphavit_WM_pp","2021-01-15","age","27-30","",22.2,12.7
"Rusfic_Alphavit_WM_pp","2021-01-15","age","30-35","",22.2,25.1
"Rusfic_Alphavit_WM_pp","2021-01-15","age","35-45","",55.5,34.6
"Rusfic_Alphavit_WM_pp","2021-01-15","age","45+","",0,19
"Rusfic_Alphavit_WM_pp","2021-01-15","cities","Санкт-Петербург","",11.1,5.7
"Rusfic_Alphavit_WM_pp","2021-01-15","cities","Москва","",0,3.5
"Rusfic_Alphavit_WM_pp","2021-01-15","cities","Пермь","",11.1,2.1
"Rusfic_Alphavit_WM_pp","2021-01-15","cities","Казань","",0,1.8
"Rusfic_Alphavit_WM_pp","2021-01-15","cities","Екатеринбург","",11.1,1.6
"Rusfic_Alphavit_WM_pp","2021-01-15","cities","Уфа","",0,1.5
"Rusfic_Alphavit_WM_pp","2021-01-15","cities","Челябинск","",11.1,1.3
"Rusfic_Alphavit_WM_pp","2021-01-15","cities","Нижний Новгород","",0,1.2
"Rusfic_Alphavit_WM_pp","2021-01-15","cities","Киров","",0,1
"Rusfic_Alphavit_WM_pp","2021-01-15","cities","Архангельск","",0,0.8
"Rusfic_Alphavit_WM_pp","2021-01-15","cities","Новосибирск","",0,0.7
"Rusfic_Alphavit_WM_pp","2021-01-15","cities","Череповец","",0,0.7
"Rusfic_Alphavit_WM_pp","2021-01-15","cities","Краснодар","",0,0.7
"Rusfic_Alphavit_WM_pp","2021-01-15","cities","Красноярск","",0,0.7
"Rusfic_Alphavit_WM_pp","2021-01-15","cities","Вологда","",0,0.7
"Rusfic_Alphavit_WM_pp","2021-01-15","cities","Великий Новгород","",0,0.6
"Rusfic_Alphavit_WM_pp","2021-01-15","cities","Самара","",0,0.6
"Rusfic_Alphavit_WM_pp","2021-01-15","cities","Ярославль","",0,0.5
"Rusfic_Alphavit_WM_pp","2021-01-15","cities","Омск","",0,0.5
"Rusfic_Alphavit_WM_pp","2021-01-15","cities","Ижевск","",0,0.5
"Rusfic_Alphavit_WM_pp","2021-01-15","gender","Ж","",100,99.9
"Rusfic_Alphavit_WM_pp","2021-01-15","gender","М","",0,0
"Rusfic_Alphavit_WM_pp","2021-01-15","gender_age","Ж","1-18",0,0.1
"Rusfic_Alphavit_WM_pp","2021-01-15","gender_age","Ж","18-21",0,0
"Rusfic_Alphavit_WM_pp","2021-01-15","gender_age","Ж","21-24",0,0
"Rusfic_Alphavit_WM_pp","2021-01-15","gender_age","Ж","24-27",0,6.8
"Rusfic_Alphavit_WM_pp","2021-01-15","gender_age","Ж","27-30",22.2,12.7
"Rusfic_Alphavit_WM_pp","2021-01-15","gender_age","Ж","30-35",22.2,25.1
"Rusfic_Alphavit_WM_pp","2021-01-15","gender_age","Ж","35-45",55.5,34.6
"Rusfic_Alphavit_WM_pp","2021-01-15","gender_age","Ж","45+",0,19
"Rusfic_Alphavit_WM_pp","2021-01-15","gender_age","М","30-35",0,0
"Rusfic_Alphavit_WM_pp","2021-01-15","gender_age","М","45+",0,0
"Rusfic_Alphavit_WM_pp","2021-01-16","age","1-18","",0,0.2
"Rusfic_Alphavit_WM_pp","2021-01-16","age","18-21","",0,0
"Rusfic_Alphavit_WM_pp","2021-01-16","age","21-24","",0,0
"Rusfic_Alphavit_WM_pp","2021-01-16","age","24-27","",0,7.5
"Rusfic_Alphavit_WM_pp","2021-01-16","age","27-30","",0,13.4
"Rusfic_Alphavit_WM_pp","2021-01-16","age","30-35","",0,26.6
"Rusfic_Alphavit_WM_pp","2021-01-16","age","35-45","",100,32.9
"Rusfic_Alphavit_WM_pp","2021-01-16","age","45+","",0,17.7
"Rusfic_Alphavit_WM_pp","2021-01-16","cities","Санкт-Петербург","",0,6
"Rusfic_Alphavit_WM_pp","2021-01-16","cities","Москва","",0,4.3
"Rusfic_Alphavit_WM_pp","2021-01-16","cities","Казань","",0,1.7
"Rusfic_Alphavit_WM_pp","2021-01-16","cities","Челябинск","",50,1.4
"Rusfic_Alphavit_WM_pp","2021-01-16","cities","Екатеринбург","",0,1.4
"Rusfic_Alphavit_WM_pp","2021-01-16","cities","Уфа","",0,1.3
"Rusfic_Alphavit_WM_pp","2021-01-16","cities","Нижний Новгород","",0,1.1
"Rusfic_Alphavit_WM_pp","2021-01-16","cities","Пермь","",0,0.9
"Rusfic_Alphavit_WM_pp","2021-01-16","cities","Новосибирск","",0,0.9
"Rusfic_Alphavit_WM_pp","2021-01-16","cities","Архангельск","",0,0.8
"Rusfic_Alphavit_WM_pp","2021-01-16","cities","Красноярск","",0,0.7
"Rusfic_Alphavit_WM_pp","2021-01-16","cities","Ижевск","",0,0.6
"Rusfic_Alphavit_WM_pp","2021-01-16","cities","Вологда","",0,0.6
"Rusfic_Alphavit_WM_pp","2021-01-16","cities","Самара","",0,0.5
"Rusfic_Alphavit_WM_pp","2021-01-16","cities","Мурманск","",0,0.5
"Rusfic_Alphavit_WM_pp","2021-01-16","cities","Сыктывкар","",0,0.5
"Rusfic_Alphavit_WM_pp","2021-01-16","cities","Великий Новгород","",0,0.5
"Rusfic_Alphavit_WM_pp","2021-01-16","cities","Киров","",0,0.5
"Rusfic_Alphavit_WM_pp","2021-01-16","cities","Тольятти","",0,0.4
"Rusfic_Alphavit_WM_pp","2021-01-16","cities","Тюмень","",50,0.4
"Rusfic_Alphavit_WM_pp","2021-01-16","gender","Ж","",100,99.9
"Rusfic_Alphavit_WM_pp","2021-01-16","gender","М","",0,0
"Rusfic_Alphavit_WM_pp","2021-01-16","gender_age","Ж","1-18",0,0.2
"Rusfic_Alphavit_WM_pp","2021-01-16","gender_age","Ж","18-21",0,0
"Rusfic_Alphavit_WM_pp","2021-01-16","gender_age","Ж","21-24",0,0
"Rusfic_Alphavit_WM_pp","2021-01-16","gender_age","Ж","24-27",0,7.5
"Rusfic_Alphavit_WM_pp","2021-01-16","gender_age","Ж","27-30",0,13.4
"Rusfic_Alphavit_WM_pp","2021-01-16","gender_age","Ж","30-35",0,26.6
"Rusfic_Alphavit_WM_pp","2021-01-16","gender_age","Ж","35-45",100,32.9
"Rusfic_Alphavit_WM_pp","2021-01-16","gender_age","Ж","45+",0,17.7
"Rusfic_Alphavit_WM_pp","2021-01-16","gender_age","М","30-35",0,0
"Rusfic_Alphavit_WM_pp","2021-01-17","age","1-18","",0,0.3
"Rusfic_Alphavit_WM_pp","2021-01-17","age","18-21","",0,0
"Rusfic_Alphavit_WM_pp","2021-01-17","age","24-27","",0,7.5
"Rusfic_Alphavit_WM_pp","2021-01-17","age","27-30","",0,14.3
"Rusfic_Alphavit_WM_pp","2021-01-17","age","30-35","",100,27.6
"Rusfic_Alphavit_WM_pp","2021-01-17","age","35-45","",0,31.5
"Rusfic_Alphavit_WM_pp","2021-01-17","age","45+","",0,17.3
"Rusfic_Alphavit_WM_pp","2021-01-17","cities","Санкт-Петербург","",0,4.3
"Rusfic_Alphavit_WM_pp","2021-01-17","cities","Москва","",0,3.9
"Rusfic_Alphavit_WM_pp","2021-01-17","cities","Казань","",0,2.1
"Rusfic_Alphavit_WM_pp","2021-01-17","cities","Пермь","",0,1.6
"Rusfic_Alphavit_WM_pp","2021-01-17","cities","Екатеринбург","",0,1.4
"Rusfic_Alphavit_WM_pp","2021-01-17","cities","Уфа","",0,1.3
"Rusfic_Alphavit_WM_pp","2021-01-17","cities","Кызыл","",0,1
"Rusfic_Alphavit_WM_pp","2021-01-17","cities","Челябинск","",0,1
"Rusfic_Alphavit_WM_pp","2021-01-17","cities","Нижний Новгород","",0,1
"Rusfic_Alphavit_WM_pp","2021-01-17","cities","Новосибирск","",0,0.8
"Rusfic_Alphavit_WM_pp","2021-01-17","cities","Самара","",0,0.8
"Rusfic_Alphavit_WM_pp","2021-01-17","cities","Ижевск","",0,0.8
"Rusfic_Alphavit_WM_pp","2021-01-17","cities","Красноярск","",0,0.6
"Rusfic_Alphavit_WM_pp","2021-01-17","cities","Омск","",0,0.6
"Rusfic_Alphavit_WM_pp","2021-01-17","cities","Тюмень","",0,0.5
"Rusfic_Alphavit_WM_pp","2021-01-17","cities","Орёл","",0,0.5
"Rusfic_Alphavit_WM_pp","2021-01-17","cities","Вологда","",0,0.5
"Rusfic_Alphavit_WM_pp","2021-01-17","cities","Волгоград","",0,0.4
"Rusfic_Alphavit_WM_pp","2021-01-17","cities","Оренбург","",0,0.4
"Rusfic_Alphavit_WM_pp","2021-01-17","cities","Липецк","",0,0.4
"Rusfic_Alphavit_WM_pp","2021-01-17","gender","Ж","",100,99.9
"Rusfic_Alphavit_WM_pp","2021-01-17","gender","М","",0,0
"Rusfic_Alphavit_WM_pp","2021-01-17","gender_age","Ж","1-18",0,0.3
"Rusfic_Alphavit_WM_pp","2021-01-17","gender_age","Ж","18-21",0,0
"Rusfic_Alphavit_WM_pp","2021-01-17","gender_age","Ж","24-27",0,7.5
"Rusfic_Alphavit_WM_pp","2021-01-17","gender_age","Ж","27-30",0,14.3
"Rusfic_Alphavit_WM_pp","2021-01-17","gender_age","Ж","30-35",100,27.6
"Rusfic_Alphavit_WM_pp","2021-01-17","gender_age","Ж","35-45",0,31.5
"Rusfic_Alphavit_WM_pp","2021-01-17","gender_age","Ж","45+",0,17.3
"Rusfic_Alphavit_WM_pp","2021-01-17","gender_age","М","30-35",0,0
"Rusfic_Alphavit_WM_pp","2021-01-18","age","1-18","",0,0.1
"Rusfic_Alphavit_WM_pp","2021-01-18","age","18-21","",0,0
"Rusfic_Alphavit_WM_pp","2021-01-18","age","21-24","",0,0
"Rusfic_Alphavit_WM_pp","2021-01-18","age","24-27","",0,6.7
"Rusfic_Alphavit_WM_pp","2021-01-18","age","27-30","",11.1,12.5
"Rusfic_Alphavit_WM_pp","2021-01-18","age","30-35","",33.3,26.2
"Rusfic_Alphavit_WM_pp","2021-01-18","age","35-45","",44.4,34.1
"Rusfic_Alphavit_WM_pp","2021-01-18","age","45+","",11.1,18.8
"Rusfic_Alphavit_WM_pp","2021-01-18","cities","Санкт-Петербург","",0,5.5
"Rusfic_Alphavit_WM_pp","2021-01-18","cities","Москва","",11.1,3.7
"Rusfic_Alphavit_WM_pp","2021-01-18","cities","Пермь","",0,1.7
"Rusfic_Alphavit_WM_pp","2021-01-18","cities","Екатеринбург","",0,1.5
"Rusfic_Alphavit_WM_pp","2021-01-18","cities","Казань","",0,1.4
"Rusfic_Alphavit_WM_pp","2021-01-18","cities","Уфа","",0,1.3
"Rusfic_Alphavit_WM_pp","2021-01-18","cities","Челябинск","",0,1.2
"Rusfic_Alphavit_WM_pp","2021-01-18","cities","Нижний Новгород","",0,1.1
"Rusfic_Alphavit_WM_pp","2021-01-18","cities","Красноярск","",0,0.8
"Rusfic_Alphavit_WM_pp","2021-01-18","cities","Новосибирск","",0,0.7
"Rusfic_Alphavit_WM_pp","2021-01-18","cities","Самара","",0,0.7
"Rusfic_Alphavit_WM_pp","2021-01-18","cities","Архангельск","",0,0.7
"Rusfic_Alphavit_WM_pp","2021-01-18","cities","Великий Новгород","",0,0.7
"Rusfic_Alphavit_WM_pp","2021-01-18","cities","Вологда","",0,0.6
"Rusfic_Alphavit_WM_pp","2021-01-18","cities","Ижевск","",0,0.6
"Rusfic_Alphavit_WM_pp","2021-01-18","cities","Воронеж","",0,0.5
"Rusfic_Alphavit_WM_pp","2021-01-18","cities","Омск","",0,0.5
"Rusfic_Alphavit_WM_pp","2021-01-18","cities","Липецк","",0,0.4
